 Periods ,solar_roof,temp,heat_1,elec_1,heat_2,elec_2,heat_3,elec_3
1415,0,-2.1,1.01E+03,4.21E+02,2.01E+02,8.39E+01,2.58E+01,1.05E+01
1416,0,-2.3,1.02E+03,1.81E+02,2.01E+02,3.60E+01,2.69E+01,4.50E+00
1417,0,-2.8,1.02E+03,2.00E+02,2.09E+02,4.00E+01,2.40E+01,5.00E+00
1418,0,-3.2,1.04E+03,2.00E+02,2.15E+02,4.00E+01,2.83E+01,5.00E+00
1419,0,-3.1,1.05E+03,2.00E+02,2.20E+02,4.00E+01,2.64E+01,5.00E+00
1420,0,-3.3,1.10E+03,2.00E+02,2.20E+02,4.00E+01,2.83E+01,5.00E+00
1421,0,-3.4,1.13E+03,2.00E+02,2.28E+02,4.00E+01,3.01E+01,5.00E+00
1422,0,-3.3,1.15E+03,2.00E+02,2.30E+02,4.00E+01,2.83E+01,5.00E+00
1423,0,-3.5,1.16E+03,9.01E+02,2.34E+02,1.80E+02,2.89E+01,2.25E+01
1424,0.004000174,-3.5,1.17E+03,1.81E+03,2.39E+02,3.60E+02,3.08E+01,4.50E+01
1425,0.018478242,-3,1.20E+03,9.01E+02,2.42E+02,1.80E+02,2.99E+01,2.25E+01
1426,0.0338758,-3.1,1.21E+03,7.01E+02,2.50E+02,1.40E+02,3.02E+01,1.75E+01
1427,0.047684335,-2.2,1.24E+03,7.01E+02,2.57E+02,1.40E+02,3.01E+01,1.75E+01
1428,0.057205066,-1.3,1.24E+03,1.40E+03,2.57E+02,2.80E+02,3.28E+01,3.50E+01
1429,0.057640366,-0.8,1.25E+03,2.00E+03,2.63E+02,4.00E+02,3.01E+01,5.00E+01
1430,0.057574188,-0.5,1.25E+03,9.01E+02,2.63E+02,1.80E+02,3.01E+01,2.25E+01
1431,0.049668338,-0.3,1.25E+03,7.01E+02,2.55E+02,1.40E+02,3.22E+01,1.75E+01
1432,0.034554382,-0.1,1.24E+03,7.01E+02,2.63E+02,1.40E+02,3.07E+01,1.75E+01
